Entity,Code,Year,Number of attendees
AAAI,,2010,918
AAAI,,2011,1108
AAAI,,2012,934
AAAI,,2013,807
AAAI,,2014,1019
AAAI,,2015,1380
AAAI,,2016,1289
AAAI,,2017,1838
AAAI,,2018,2251
AAAI,,2019,3227
AAAI,,2020,4884
AAAI,,2021,4086
AAAI,,2022,3560
AAAI,,2023,4474
AAAI,,2024,5149
CVPR,,2010,1306
CVPR,,2011,1496
CVPR,,2012,1811
CVPR,,2013,1991
CVPR,,2014,2061
CVPR,,2015,2750
CVPR,,2016,3606
CVPR,,2017,4976
CVPR,,2018,6512
CVPR,,2019,9227
CVPR,,2020,7500
CVPR,,2021,8237
CVPR,,2022,10169
CVPR,,2023,8337
CVPR,,2024,12000
ICLR,,2013,105
ICLR,,2014,176
ICLR,,2015,369
ICLR,,2016,449
ICLR,,2017,1224
ICLR,,2018,2000
ICLR,,2019,2720
ICLR,,2020,5600
ICLR,,2021,6306
ICLR,,2022,5346
ICLR,,2023,3758
ICLR,,2024,6533
ICML,,2010,514
ICML,,2011,546
ICML,,2012,744
ICML,,2013,500
ICML,,2014,800
ICML,,2015,1200
ICML,,2016,3103
ICML,,2017,2431
ICML,,2018,5023
ICML,,2019,6481
ICML,,2020,10800
ICML,,2021,29537
ICML,,2022,7732
ICML,,2023,7921
ICML,,2024,9095
NeurIPS,,2010,1354
NeurIPS,,2011,1452
NeurIPS,,2012,1676
NeurIPS,,2013,1994
NeurIPS,,2014,2581
NeurIPS,,2015,3852
NeurIPS,,2016,5231
NeurIPS,,2017,8008
NeurIPS,,2018,8648
NeurIPS,,2019,13000
NeurIPS,,2020,22823
NeurIPS,,2021,17091
NeurIPS,,2022,15390
NeurIPS,,2023,16382
NeurIPS,,2024,19756
Total,,2010,8260
Total,,2011,9507
Total,,2012,8804
Total,,2013,10292
Total,,2014,10635
Total,,2015,15465
Total,,2016,20607
Total,,2017,27315
Total,,2018,37521
Total,,2019,47964
Total,,2020,86911
Total,,2021,80150
Total,,2022,59422
Total,,2023,60176
Total,,2024,73256
